Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_simple_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,37.83
gemini-2.5-pro_simple_rag,"CWE-117,532_patch.py",None,None,O,21.19
gemini-2.5-pro_simple_rag,CWE-285_patch.py,None,None,O,21.08
gemini-2.5-pro_simple_rag,CWE-285_test.py,CWE-285,CWE-285,O,23.97
gemini-2.5-pro_simple_rag,CWE-287_patch.py,None,None,O,22.42
gemini-2.5-pro_simple_rag,CWE-287_test.py,CWE-287,CWE-287,O,26.09
gemini-2.5-pro_simple_rag,CWE-311_test.py,CWE-311,CWE-532,X,35.02
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_patch.py,None,None,O,14.5
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,24.05
gemini-2.5-pro_simple_rag,CWE-400_patch.py,None,CWE-400,X,19.96
gemini-2.5-pro_simple_rag,CWE-400_test.py,CWE-400,CWE-770,X,45.77
gemini-2.5-pro_simple_rag,CWE-611_patch.py,None,CWE-400,X,17.26
gemini-2.5-pro_simple_rag,CWE-611_test.py,CWE-611,CWE-611,O,18.27
gemini-2.5-pro_simple_rag,CWE-639_test.py,CWE-639,CWE-285,X,21.1
gemini-2.5-pro_simple_rag,CWE-770_patch.py,None,None,O,16.24
gemini-2.5-pro_simple_rag,CWE-770_test.py,CWE-770,CWE-770,O,23.09
gemini-2.5-pro_simple_rag,CWE-798_patch.py,None,CWE-532,X,23.79
gemini-2.5-pro_simple_rag,CWE-798_test.py,CWE-798,CWE-798,O,17.95
gemini-2.5-pro_simple_rag,CWE-915_patch.py,None,None,O,18.54
gemini-2.5-pro_simple_rag,CWE-915_test.py,CWE-915,CWE-285,X,21.41
gemini-2.5-pro_simple_rag,"CWE-942,798_patch.py",None,CWE-285,X,18.98
gemini-2.5-pro_simple_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,40.82
gemini-2.5-pro_simple_rag,CWE-942_patch.py,None,None,O,12.84
gemini-2.5-pro_simple_rag,CWE-942_test.py,CWE-942,CWE-942,O,22.32
