Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_simple_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-532,O,71.09
gemini-2.5-pro_simple_rag,"CWE-117,532_patch.py",None,CWE-770,X,35.44
gemini-2.5-pro_simple_rag,CWE-285_patch.py,None,None,O,20.77
gemini-2.5-pro_simple_rag,CWE-285_test.py,CWE-285,CWE-285,O,21.82
gemini-2.5-pro_simple_rag,CWE-287_patch.py,None,None,O,30.08
gemini-2.5-pro_simple_rag,CWE-287_test.py,CWE-287,CWE-287,O,28.76
gemini-2.5-pro_simple_rag,CWE-311_patch.py,None,None,O,15.84
gemini-2.5-pro_simple_rag,CWE-311_test.py,CWE-311,CWE-285,X,30.76
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_patch.py,None,None,O,14.4
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,25.93
gemini-2.5-pro_simple_rag,CWE-400_patch.py,None,CWE-400,X,21.54
gemini-2.5-pro_simple_rag,CWE-400_test.py,CWE-400,CWE-770,X,45.26
gemini-2.5-pro_simple_rag,CWE-611_patch.py,None,CWE-400,X,22.85
gemini-2.5-pro_simple_rag,CWE-611_test.py,CWE-611,CWE-611,O,20.75
gemini-2.5-pro_simple_rag,CWE-639_patch.py,None,None,O,18.64
gemini-2.5-pro_simple_rag,CWE-639_test.py,CWE-639,CWE-285,X,28.26
gemini-2.5-pro_simple_rag,CWE-770_patch.py,None,None,O,13.97
gemini-2.5-pro_simple_rag,CWE-770_test.py,CWE-770,CWE-770,O,21.3
gemini-2.5-pro_simple_rag,CWE-798_patch.py,None,None,O,20.31
gemini-2.5-pro_simple_rag,CWE-798_test.py,CWE-798,CWE-798,O,20.37
gemini-2.5-pro_simple_rag,CWE-915_patch.py,None,None,O,18.62
gemini-2.5-pro_simple_rag,CWE-915_test.py,CWE-915,CWE-285,X,35.09
gemini-2.5-pro_simple_rag,"CWE-942,798_patch.py",None,CWE-285,X,15.96
gemini-2.5-pro_simple_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-285,X,59.41
gemini-2.5-pro_simple_rag,CWE-942_patch.py,None,None,O,17.11
gemini-2.5-pro_simple_rag,CWE-942_test.py,CWE-942,CWE-942,O,17.37
