Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,30.79
gemini-2.5-pro_rag,"CWE-117,532_patch.py",None,None,O,21.7
gemini-2.5-pro_rag,CWE-285_patch.py,None,None,O,20.72
gemini-2.5-pro_rag,CWE-285_test.py,CWE-285,CWE-285,O,22.83
gemini-2.5-pro_rag,CWE-287_patch.py,None,CWE-287,X,29.53
gemini-2.5-pro_rag,CWE-287_test.py,CWE-287,CWE-287,O,27.25
gemini-2.5-pro_rag,CWE-311_patch.py,None,None,O,16.79
gemini-2.5-pro_rag,CWE-311_test.py,CWE-311,CWE-285,X,36.81
gemini-2.5-pro_rag,CWE-338_CWE-343_patch.py,None,None,O,14.19
gemini-2.5-pro_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,27.28
gemini-2.5-pro_rag,CWE-400_patch.py,None,CWE-400,X,21.27
gemini-2.5-pro_rag,CWE-400_test.py,CWE-400,CWE-400,O,32.06
gemini-2.5-pro_rag,CWE-611_patch.py,None,CWE-770,X,17.55
gemini-2.5-pro_rag,CWE-611_test.py,CWE-611,CWE-611,O,23.8
gemini-2.5-pro_rag,CWE-639_patch.py,None,None,O,20.69
gemini-2.5-pro_rag,CWE-639_test.py,CWE-639,CWE-285,X,27.66
gemini-2.5-pro_rag,CWE-770_patch.py,None,None,O,12.45
gemini-2.5-pro_rag,CWE-770_test.py,CWE-770,CWE-400,X,23.46
gemini-2.5-pro_rag,CWE-798_patch.py,None,None,O,23.76
gemini-2.5-pro_rag,CWE-798_test.py,CWE-798,CWE-798,O,26.11
gemini-2.5-pro_rag,CWE-915_patch.py,None,None,O,24.36
gemini-2.5-pro_rag,CWE-915_test.py,CWE-915,CWE-285,X,24.6
gemini-2.5-pro_rag,"CWE-942,798_patch.py",None,CWE-285,X,14.66
gemini-2.5-pro_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,46.21
gemini-2.5-pro_rag,CWE-942_patch.py,None,None,O,15.6
gemini-2.5-pro_rag,CWE-942_test.py,CWE-942,CWE-942,O,21.58
