Model,Filename,Ground_Truth,Prediction,Match,Time_s,Memory_MB
gemini-2.5-pro,"CWE-117,532_Test.py",CWE-117,CWE-117,O,21.73,API
gemini-2.5-pro,CWE-285_test.py,CWE-285,CWE-770,X,22.36,API
gemini-2.5-pro,CWE-287_test.py,CWE-287,CWE-285,X,27.53,API
gemini-2.5-pro,CWE-338_CWE-343test.py,CWE-338/CWE-343,CWE-338,O,16.85,API
gemini-2.5-pro,CWE-400_test.py,CWE-400,CWE-400,O,34.97,API
gemini-2.5-pro,CWE-611_test.py,CWE-611,None,X,18.28,API
gemini-2.5-pro,CWE-770test.py,CWE-770,CWE-400,X,27.75,API
gemini-2.5-pro,CWE-798_test.py,CWE-798,CWE-798,O,22.07,API
gemini-2.5-pro,CWE-942_testcode.py,CWE-942,CWE-346,X,19.79,API
gemini-2.5-pro,treesiter_test.py,None,CWE-798,X,28.58,API
