Model,Filename,Ground_Truth,Prediction,Match,Time_s
qwen2.5-coder_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,UNKNOWN,X,10.55
qwen2.5-coder_raw,"CWE-117,532_patch.py",None,UNKNOWN,X,8.55
qwen2.5-coder_raw,CWE-285_patch.py,None,UNKNOWN,X,7.7
qwen2.5-coder_raw,CWE-285_test.py,CWE-285,UNKNOWN,X,7.25
qwen2.5-coder_raw,CWE-287_patch.py,None,UNKNOWN,X,7.29
qwen2.5-coder_raw,CWE-287_test.py,CWE-287,CWE-352,X,113.05
qwen2.5-coder_raw,CWE-311_patch.py,None,None,O,41.5
qwen2.5-coder_raw,CWE-311_test.py,CWE-311,UNKNOWN,X,102.67
qwen2.5-coder_raw,CWE-338_CWE-343_patch.py,None,None,O,29.97
qwen2.5-coder_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-327,X,122.02
qwen2.5-coder_raw,CWE-400_patch.py,None,UNKNOWN,X,36.02
qwen2.5-coder_raw,CWE-400_test.py,CWE-400,UNKNOWN,X,84.12
qwen2.5-coder_raw,CWE-611_patch.py,None,None,O,38.95
qwen2.5-coder_raw,CWE-611_test.py,CWE-611,UNKNOWN,X,90.3
qwen2.5-coder_raw,CWE-639_patch.py,None,None,O,85.03
qwen2.5-coder_raw,CWE-639_test.py,CWE-639,CWE-284,X,106.64
qwen2.5-coder_raw,CWE-770_patch.py,None,None,O,59.44
qwen2.5-coder_raw,CWE-770_test.py,CWE-770,CWE-787,X,88.94
qwen2.5-coder_raw,CWE-798_patch.py,None,None,O,30.35
qwen2.5-coder_raw,CWE-798_test.py,CWE-798,CWE-798,O,88.44
qwen2.5-coder_raw,CWE-915_patch.py,None,None,O,24.58
qwen2.5-coder_raw,CWE-915_test.py,CWE-915,UNKNOWN,X,80.44
qwen2.5-coder_raw,"CWE-942,798_patch.py",None,None,O,33.17
qwen2.5-coder_raw,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,72.64
qwen2.5-coder_raw,CWE-942_patch.py,None,CWE-352,X,32.17
qwen2.5-coder_raw,CWE-942_test.py,CWE-942,CWE-352,X,109.49
