Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,32.98
gemini-2.5-pro_rag,"CWE-117,532_patch.py",None,None,O,13.48
gemini-2.5-pro_rag,CWE-285_patch.py,None,None,O,15.28
gemini-2.5-pro_rag,CWE-285_test.py,CWE-285,CWE-285,O,22.03
gemini-2.5-pro_rag,CWE-287_patch.py,None,None,O,22.19
gemini-2.5-pro_rag,CWE-287_test.py,CWE-287,CWE-287,O,29.66
gemini-2.5-pro_rag,CWE-311_patch.py,None,None,O,19.08
gemini-2.5-pro_rag,CWE-311_test.py,CWE-311,CWE-285,X,32.75
gemini-2.5-pro_rag,CWE-338_CWE-343_patch.py,None,None,O,16.11
gemini-2.5-pro_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,27.93
gemini-2.5-pro_rag,CWE-400_patch.py,None,CWE-400,X,19.12
gemini-2.5-pro_rag,CWE-400_test.py,CWE-400,CWE-770,X,27.72
gemini-2.5-pro_rag,CWE-611_patch.py,None,CWE-770,X,30.48
gemini-2.5-pro_rag,CWE-611_test.py,CWE-611,CWE-611,O,22.42
gemini-2.5-pro_rag,CWE-639_patch.py,None,None,O,19.81
gemini-2.5-pro_rag,CWE-639_test.py,CWE-639,CWE-285,X,25.25
gemini-2.5-pro_rag,CWE-770_patch.py,None,None,O,15.07
gemini-2.5-pro_rag,CWE-770_test.py,CWE-770,CWE-400,X,24.3
gemini-2.5-pro_rag,CWE-798_patch.py,None,None,O,16.11
gemini-2.5-pro_rag,CWE-798_test.py,CWE-798,CWE-798,O,19.65
gemini-2.5-pro_rag,CWE-915_patch.py,None,CWE-285,X,21.42
gemini-2.5-pro_rag,CWE-915_test.py,CWE-915,CWE-285,X,25.13
gemini-2.5-pro_rag,"CWE-942,798_patch.py",None,CWE-285,X,17.62
gemini-2.5-pro_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-285,X,47.05
gemini-2.5-pro_rag,CWE-942_patch.py,None,None,O,20.2
gemini-2.5-pro_rag,CWE-942_test.py,CWE-942,CWE-942,O,26.76
