Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,26.37
gemini-2.5-pro_raw,"CWE-117,532_patch.py",None,None,O,14.27
gemini-2.5-pro_raw,CWE-285_patch.py,None,None,O,19.49
gemini-2.5-pro_raw,CWE-285_test.py,CWE-285,CWE-862,X,31.26
gemini-2.5-pro_raw,CWE-287_patch.py,None,None,O,28.34
gemini-2.5-pro_raw,CWE-287_test.py,CWE-287,CWE-287,O,36.78
gemini-2.5-pro_raw,CWE-311_patch.py,None,None,O,17.88
gemini-2.5-pro_raw,CWE-311_test.py,CWE-311,CWE-312,X,29.37
gemini-2.5-pro_raw,CWE-338_CWE-343_patch.py,None,None,O,12.91
gemini-2.5-pro_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-337,X,24.28
gemini-2.5-pro_raw,CWE-400_patch.py,None,None,O,21.83
gemini-2.5-pro_raw,CWE-400_test.py,CWE-400,CWE-434,X,35.59
gemini-2.5-pro_raw,CWE-611_patch.py,None,None,O,11.22
gemini-2.5-pro_raw,CWE-611_test.py,CWE-611,CWE-611,O,26.02
gemini-2.5-pro_raw,CWE-639_patch.py,None,None,O,16.15
gemini-2.5-pro_raw,CWE-639_test.py,CWE-639,CWE-639,O,29.12
gemini-2.5-pro_raw,CWE-770_patch.py,None,None,O,17.97
gemini-2.5-pro_raw,CWE-770_test.py,CWE-770,CWE-789,X,26.47
gemini-2.5-pro_raw,CWE-798_patch.py,None,None,O,21.46
gemini-2.5-pro_raw,CWE-798_test.py,CWE-798,CWE-798,O,32.18
gemini-2.5-pro_raw,CWE-915_patch.py,None,None,O,18.96
gemini-2.5-pro_raw,CWE-915_test.py,CWE-915,CWE-915,O,23.91
gemini-2.5-pro_raw,"CWE-942,798_patch.py",None,CWE-862,X,14.27
gemini-2.5-pro_raw,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,25.79
gemini-2.5-pro_raw,CWE-942_patch.py,None,None,O,14.46
gemini-2.5-pro_raw,CWE-942_test.py,CWE-942,CWE-346,X,30.92
