Model,Filename,Ground_Truth,Prediction,Match,Time_s
grok-3-mini_rag_ts,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,5.36
grok-3-mini_rag_ts,"CWE-117,532_patch.py",None,None,O,2.63
grok-3-mini_rag_ts,CWE-22_test.py,None,None,O,5.83
grok-3-mini_rag_ts,CWE-285_patch.py,None,None,O,2.86
grok-3-mini_rag_ts,CWE-285_test.py,CWE-285,CWE-285,O,4.3
grok-3-mini_rag_ts,CWE-287_patch.py,None,None,O,4.28
grok-3-mini_rag_ts,CWE-287_test.py,CWE-287,CWE-285,X,7.26
grok-3-mini_rag_ts,CWE-307_test.py,CWE-307,None,X,4.71
grok-3-mini_rag_ts,"CWE-311,362_test.py",CWE-311/CWE-362,CWE-311,O,4.89
grok-3-mini_rag_ts,CWE-311_patch.py,None,None,O,3.09
grok-3-mini_rag_ts,CWE-311_test.py,CWE-311,CWE-311,O,5.22
grok-3-mini_rag_ts,CWE-328_test.py,CWE-328,CWE-287,X,4.74
grok-3-mini_rag_ts,CWE-338_CWE-343_patch.py,None,None,O,2.08
grok-3-mini_rag_ts,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,5.05
grok-3-mini_rag_ts,CWE-400_patch.py,None,None,O,4.64
grok-3-mini_rag_ts,CWE-400_test.py,CWE-400,CWE-770,X,4.59
grok-3-mini_rag_ts,CWE-502_test.py,CWE-502,None,X,3.69
grok-3-mini_rag_ts,CWE-601_test.py,CWE-601,None,X,6.04
grok-3-mini_rag_ts,CWE-611_patch.py,None,None,O,2.34
grok-3-mini_rag_ts,CWE-611_test.py,CWE-611,CWE-611,O,3.92
grok-3-mini_rag_ts,CWE-639_patch.py,None,None,O,2.75
grok-3-mini_rag_ts,CWE-639_test.py,CWE-639,CWE-285,X,4.75
grok-3-mini_rag_ts,CWE-643_test.py,CWE-643,CWE-611,X,4.72
grok-3-mini_rag_ts,CWE-674_test.py,CWE-674,CWE-400,X,4.6
grok-3-mini_rag_ts,CWE-770_patch.py,None,None,O,4.41
grok-3-mini_rag_ts,CWE-770_test.py,CWE-770,CWE-770,O,7.28
grok-3-mini_rag_ts,CWE-798_patch.py,None,None,O,2.91
grok-3-mini_rag_ts,CWE-798_test.py,CWE-798,CWE-798,O,5.02
grok-3-mini_rag_ts,CWE-79_test.py,None,None,O,4.92
grok-3-mini_rag_ts,CWE-79_test2.py,None,None,O,5.48
grok-3-mini_rag_ts,CWE-862_test.py,CWE-862,CWE-285,X,4.73
grok-3-mini_rag_ts,CWE-90_test.py,None,None,O,5.39
grok-3-mini_rag_ts,CWE-915_patch.py,None,None,O,4.39
grok-3-mini_rag_ts,CWE-915_test.py,CWE-915,CWE-285,X,5.68
grok-3-mini_rag_ts,CWE-918_test.py,CWE-918,None,X,4.92
grok-3-mini_rag_ts,"CWE-942,798_patch.py",None,None,O,2.77
grok-3-mini_rag_ts,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-942,O,6.53
grok-3-mini_rag_ts,CWE-942_patch.py,None,None,O,3.35
grok-3-mini_rag_ts,CWE-942_test.py,CWE-942,CWE-942,O,3.66
grok-3-mini_rag_ts,CWE-94_test.py,None,None,O,4.12
