Model,Filename,Ground_Truth,Prediction,Match,Time_s
grok-3-mini_rag_ts,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,5.31
grok-3-mini_rag_ts,"CWE-117,532_patch.py",None,None,O,2.51
grok-3-mini_rag_ts,CWE-285_patch.py,None,None,O,4.76
grok-3-mini_rag_ts,CWE-285_test.py,CWE-285,CWE-285,O,5.84
grok-3-mini_rag_ts,CWE-287_patch.py,None,None,O,3.99
grok-3-mini_rag_ts,CWE-287_test.py,CWE-287,CWE-287,O,7.15
grok-3-mini_rag_ts,CWE-311_patch.py,None,None,O,3.97
grok-3-mini_rag_ts,CWE-311_test.py,CWE-311,None,X,6.87
grok-3-mini_rag_ts,CWE-338_CWE-343_patch.py,None,None,O,6.97
grok-3-mini_rag_ts,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,4.94
grok-3-mini_rag_ts,CWE-400_patch.py,None,None,O,3.45
grok-3-mini_rag_ts,CWE-400_test.py,CWE-400,CWE-770,X,7.54
grok-3-mini_rag_ts,CWE-611_patch.py,None,None,O,2.29
grok-3-mini_rag_ts,CWE-611_test.py,CWE-611,CWE-611,O,3.5
grok-3-mini_rag_ts,CWE-639_patch.py,None,None,O,3.56
grok-3-mini_rag_ts,CWE-639_test.py,CWE-639,CWE-285,X,4.44
grok-3-mini_rag_ts,CWE-770_patch.py,None,None,O,2.33
grok-3-mini_rag_ts,CWE-770_test.py,CWE-770,CWE-400,X,5.33
grok-3-mini_rag_ts,CWE-798_patch.py,None,None,O,3.07
grok-3-mini_rag_ts,CWE-798_test.py,CWE-798,CWE-798,O,3.15
grok-3-mini_rag_ts,CWE-915_patch.py,None,None,O,4.33
grok-3-mini_rag_ts,CWE-915_test.py,CWE-915,CWE-285,X,5.41
grok-3-mini_rag_ts,"CWE-942,798_patch.py",None,None,O,3.9
grok-3-mini_rag_ts,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,7.11
grok-3-mini_rag_ts,CWE-942_patch.py,None,None,O,3.1
grok-3-mini_rag_ts,CWE-942_test.py,CWE-942,CWE-942,O,3.29
