Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,31.02
gemini-2.5-pro_raw,"CWE-117,532_patch.py",None,None,O,16.29
gemini-2.5-pro_raw,CWE-285_patch.py,None,None,O,21.84
gemini-2.5-pro_raw,CWE-285_test.py,CWE-285,CWE-306,X,30.25
gemini-2.5-pro_raw,CWE-287_patch.py,None,CWE-257,X,28.32
gemini-2.5-pro_raw,CWE-287_test.py,CWE-287,CWE-565,X,31.77
gemini-2.5-pro_raw,CWE-311_test.py,CWE-311,CWE-312,X,27.77
gemini-2.5-pro_raw,CWE-338_CWE-343_patch.py,None,None,O,13.86
gemini-2.5-pro_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-337,X,28.01
gemini-2.5-pro_raw,CWE-400_patch.py,None,None,O,21.66
gemini-2.5-pro_raw,CWE-400_test.py,CWE-400,CWE-770,X,33.78
gemini-2.5-pro_raw,CWE-611_patch.py,None,None,O,9.51
gemini-2.5-pro_raw,CWE-611_test.py,CWE-611,CWE-611,O,24.19
gemini-2.5-pro_raw,CWE-639_test.py,CWE-639,CWE-639,O,33.54
gemini-2.5-pro_raw,CWE-770_patch.py,None,None,O,12.66
gemini-2.5-pro_raw,CWE-770_test.py,CWE-770,CWE-789,X,28.53
gemini-2.5-pro_raw,CWE-798_patch.py,None,None,O,17.0
gemini-2.5-pro_raw,CWE-798_test.py,CWE-798,CWE-798,O,27.06
gemini-2.5-pro_raw,CWE-915_patch.py,None,None,O,9.98
gemini-2.5-pro_raw,CWE-915_test.py,CWE-915,CWE-915,O,20.89
gemini-2.5-pro_raw,"CWE-942,798_patch.py",None,None,O,15.72
gemini-2.5-pro_raw,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,27.42
gemini-2.5-pro_raw,CWE-942_patch.py,None,None,O,15.56
gemini-2.5-pro_raw,CWE-942_test.py,CWE-942,CWE-346,X,31.59
