Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_simple_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,45.9
gemini-2.5-pro_simple_rag,"CWE-117,532_patch.py",None,None,O,19.85
gemini-2.5-pro_simple_rag,CWE-285_patch.py,None,None,O,19.1
gemini-2.5-pro_simple_rag,CWE-285_test.py,CWE-285,CWE-285,O,22.68
gemini-2.5-pro_simple_rag,CWE-287_patch.py,None,CWE-770,X,29.98
gemini-2.5-pro_simple_rag,CWE-287_test.py,CWE-287,CWE-287,O,24.04
gemini-2.5-pro_simple_rag,CWE-311_patch.py,None,None,O,20.13
gemini-2.5-pro_simple_rag,CWE-311_test.py,CWE-311,CWE-532,X,46.2
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_patch.py,None,None,O,14.49
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,24.35
gemini-2.5-pro_simple_rag,CWE-400_patch.py,None,CWE-400,X,22.12
gemini-2.5-pro_simple_rag,CWE-400_test.py,CWE-400,CWE-770,X,41.51
gemini-2.5-pro_simple_rag,CWE-611_patch.py,None,CWE-400,X,19.69
gemini-2.5-pro_simple_rag,CWE-611_test.py,CWE-611,CWE-611,O,30.28
gemini-2.5-pro_simple_rag,CWE-639_patch.py,None,None,O,20.85
gemini-2.5-pro_simple_rag,CWE-639_test.py,CWE-639,CWE-285,X,21.78
gemini-2.5-pro_simple_rag,CWE-770_patch.py,None,None,O,13.61
gemini-2.5-pro_simple_rag,CWE-770_test.py,CWE-770,CWE-770,O,46.82
gemini-2.5-pro_simple_rag,CWE-798_patch.py,None,None,O,21.63
gemini-2.5-pro_simple_rag,CWE-798_test.py,CWE-798,CWE-798,O,23.27
gemini-2.5-pro_simple_rag,CWE-915_patch.py,None,None,O,18.05
gemini-2.5-pro_simple_rag,CWE-915_test.py,CWE-915,CWE-285,X,36.1
gemini-2.5-pro_simple_rag,"CWE-942,798_patch.py",None,CWE-285,X,19.4
gemini-2.5-pro_simple_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-285,X,49.57
gemini-2.5-pro_simple_rag,CWE-942_patch.py,None,None,O,13.67
gemini-2.5-pro_simple_rag,CWE-942_test.py,CWE-942,CWE-942,O,18.08
