Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,32.11
gemini-2.5-pro_rag,"CWE-117,532_patch.py",None,CWE-770,X,26.4
gemini-2.5-pro_rag,CWE-285_patch.py,None,None,O,17.07
gemini-2.5-pro_rag,CWE-285_test.py,CWE-285,CWE-285,O,22.56
gemini-2.5-pro_rag,CWE-287_patch.py,None,CWE-287,X,25.23
gemini-2.5-pro_rag,CWE-287_test.py,CWE-287,CWE-287,O,24.39
gemini-2.5-pro_rag,CWE-311_test.py,CWE-311,CWE-285,X,32.23
gemini-2.5-pro_rag,CWE-338_CWE-343_patch.py,None,None,O,13.05
gemini-2.5-pro_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,25.83
gemini-2.5-pro_rag,CWE-400_patch.py,None,CWE-400,X,21.65
gemini-2.5-pro_rag,CWE-400_test.py,CWE-400,CWE-770,X,32.19
gemini-2.5-pro_rag,CWE-611_patch.py,None,CWE-400,X,19.56
gemini-2.5-pro_rag,CWE-611_test.py,CWE-611,CWE-611,O,22.55
gemini-2.5-pro_rag,CWE-639_test.py,CWE-639,CWE-285,X,28.04
gemini-2.5-pro_rag,CWE-770_patch.py,None,None,O,14.07
gemini-2.5-pro_rag,CWE-770_test.py,CWE-770,CWE-400,X,30.02
gemini-2.5-pro_rag,CWE-798_patch.py,None,None,O,21.29
gemini-2.5-pro_rag,CWE-798_test.py,CWE-798,CWE-798,O,20.31
gemini-2.5-pro_rag,CWE-915_patch.py,None,CWE-285,X,22.22
gemini-2.5-pro_rag,CWE-915_test.py,CWE-915,CWE-285,X,29.78
gemini-2.5-pro_rag,"CWE-942,798_patch.py",None,CWE-285,X,14.77
gemini-2.5-pro_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,40.79
gemini-2.5-pro_rag,CWE-942_patch.py,None,None,O,12.71
gemini-2.5-pro_rag,CWE-942_test.py,CWE-942,CWE-942,O,20.89
