Model,Filename,Ground_Truth,Prediction,Match,Time_s
grok-3-mini_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,UNKNOWN,X,1.73
grok-3-mini_raw,"CWE-117,532_patch.py",None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-285_patch.py,None,UNKNOWN,X,0.24
grok-3-mini_raw,CWE-285_test.py,CWE-285,UNKNOWN,X,0.22
grok-3-mini_raw,CWE-287_patch.py,None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-287_test.py,CWE-287,UNKNOWN,X,0.29
grok-3-mini_raw,CWE-311_patch.py,None,UNKNOWN,X,0.24
grok-3-mini_raw,CWE-311_test.py,CWE-311,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-338_CWE-343_patch.py,None,UNKNOWN,X,0.2
grok-3-mini_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-400_patch.py,None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-400_test.py,CWE-400,UNKNOWN,X,0.26
grok-3-mini_raw,CWE-611_patch.py,None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-611_test.py,CWE-611,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-639_patch.py,None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-639_test.py,CWE-639,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-770_patch.py,None,UNKNOWN,X,0.2
grok-3-mini_raw,CWE-770_test.py,CWE-770,UNKNOWN,X,0.22
grok-3-mini_raw,CWE-798_patch.py,None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-798_test.py,CWE-798,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-915_patch.py,None,UNKNOWN,X,0.23
grok-3-mini_raw,CWE-915_test.py,CWE-915,UNKNOWN,X,0.2
grok-3-mini_raw,"CWE-942,798_patch.py",None,UNKNOWN,X,0.22
grok-3-mini_raw,"CWE-942,798_test.py",CWE-942/CWE-798,UNKNOWN,X,0.21
grok-3-mini_raw,CWE-942_patch.py,None,UNKNOWN,X,0.22
grok-3-mini_raw,CWE-942_test.py,CWE-942,UNKNOWN,X,0.23
